Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
artist,katz_alex,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,alex katz,alex katz,alex katz,alex katz
artist,pope_l,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,pope.l,pope.l,pope.l,pope.l
movement,socialist_realism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,socialist realism,socialist,socialist,socialist
artist,mies_van_der_rohe_ludwig,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,ludwig mies van der rohe,mies rohe,mies rohe,mies rohe
artist,horta_victor,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,victor horta,horta,horta,horta
influencer,kahnweiler_daniel_henry,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,daniel-henry kahnweiler,daniel-henry kahnweiler,daniel-henry kahnweiler,daniel-henry kahnweiler
artist,bearden_romare,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,romare bearden,romare bearden,romare bearden,romare bearden
artist,renoir_pierre_auguste,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,pierre-auguste renoir,pierre-auguste renoir,pierre-auguste renoir,pierre-auguste renoir
artist,stettheimer_florine,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,florine stettheimer,florine stettheimer,florine stettheimer,florine stettheimer
artist,abramovic_marina,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,marina abramović,marina abramovic,marina abramovic,marina abramovic
artist,bernd_hilla_becher,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,bernd and hilla becher,bernd becher,bernd becher,bernd becher
artist,ringgold_faith,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,faith ringgold,faith ringgold,faith ringgold,faith ringgold
artist,moran_thomas,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,thomas moran,moran,moran,moran
movement,precisionism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,precisionism,precisionism,precisionism,precisionism
artist,burchfield_charles,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,charles burchfield,burchfield,burchfield,burchfield
artist,ulay,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,ulay,ulay,ulay,ulay
artist,leyster_judith,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,judith leyster,judith leyster,judith leyster,judith leyster
artist,oppenheim_dennis,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,dennis oppenheim,dennis,dennis,dennis
artist,gericault_theodore,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,théodore géricault,gericault,gericault,gericault
movement,happenings,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,happenings,happenings,happenings,happenings
artist,munter_gabriele,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,gabriele münter,gabriele munter,gabriele munter,gabriele munter
artist,murray_elizabeth,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,elizabeth murray,murray,murray,murray
artist,estes_richard,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,richard estes,estes,estes,estes
artist,vuillard_edouard,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,édouard vuillard,vuillard,vuillard,vuillard
artist,fischl_eric,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,eric fischl,eric fischl,eric fischl,eric fischl
artist,obidos_josefa_de,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,josefa de óbidos,josefa obidos,josefa obidos,josefa obidos
artist,taeuber_arp_sophie,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,sophie taeuber-arp,taeuber-arp,taeuber-arp,taeuber-arp
movement,post_painterly_abstraction,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,post-painterly abstraction,post-painterly abstraction,post-painterly abstraction,post-painterly abstraction
artist,nara_yoshitomo,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,yoshitomo nara,yoshitomo nara,yoshitomo nara,yoshitomo nara
artist,rimmington_edith,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,edith rimmington,edith rimmington,edith rimmington,edith rimmington
artist,rubens_peter_paul,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,peter paul rubens,rubens,rubens,rubens
artist,sullivan_louis,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,louis sullivan,sullivan,sullivan,sullivan
artist,dove_arthur,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,arthur dove,dove,dove,dove
artist,gaudi_antoni,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,antoni gaudí,gaudi,gaudi,gaudi
artist,benton_thomas_hart,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,thomas hart benton,hart benton,hart benton,hart benton
artist,hiroshige_utagawa,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,utagawa hiroshige,utagawa hiroshige,utagawa hiroshige,utagawa hiroshige
artist,levine_sherrie,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,sherrie levine,sherrie,sherrie,sherrie
artist,sage_kay,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,kay sage,kay sage,kay sage,kay sage
artist,turrell_james,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,james turrell,turrell,turrell,turrell
artist,uccello_paolo,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,paolo uccello,uccello,uccello,uccello
movement,relational_aesthetics,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,relational aesthetics,relational aesthetics,relational aesthetics,relational aesthetics
artist,parmigianino,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,parmigianino,parmigianino,parmigianino,parmigianino
artist,basquiat_jean_michel,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,jean-michel basquiat,jean-michel basquiat,jean-michel basquiat,jean-michel basquiat
artist,boccioni_umberto,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,umberto boccioni,umberto boccioni,umberto boccioni,umberto boccioni
artist,kokoschka_oskar,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,oskar kokoschka,kokoschka,kokoschka,kokoschka
artist,rodchenko_alexander,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,alexander rodchenko,rodchenko,rodchenko,rodchenko
artist,steir_pat,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,pat steir,pat steir,pat steir,pat steir
artist,chadwick_helen,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,helen chadwick,chadwick,chadwick,chadwick
artist,bontecou_lee,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,lee bontecou,bontecou,bontecou,bontecou
artist,clausell_joaquin,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,joaquín clausell,joaquin clausell,joaquin clausell,joaquin clausell
artist,moreau_gustave,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,gustave moreau,moreau,moreau,moreau
artist,chapman_jake_and_dinos,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,jake and dinos chapman,jake dinos chapman,jake dinos chapman,jake dinos chapman
